date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
9/27/2014,434675.6177,1085,13511200,2.84,69607,3050,2.32399935
9/28/2014,335573.2627,940,13315400,2.9,120161,3210,1.70390602
9/29/2014,6503397.236,1121,13597700,2.85,75316,2950,2.2142337
9/30/2014,233922.0069,990,13412300,2.7,154649,2849,1.68607159
10/1/2014,343717.668,1086,12700400,2.46,223263,2798,2.08036564
10/2/2014,331311.3432,1048,11578000,2.44,45955,3130,2.81212567
10/3/2014,803754.2555,923,11461000,2.4,58977,3238,1.07634798
10/4/2014,114778.011,1015,11314000,2.24,55246,3370,1.28814121
10/5/2014,127112.0939,956,10532900,2.25,54743,3428,2.38092586
10/6/2014,513245.1214,991,10621800,2.25,51204,3957,1.1127004
10/7/2014,1304945.417,1185,10621100,2.13,149260,3836,1.55420142
10/8/2014,4151688.034,1401,10013700,2.34,61348,4124,1.81700001
10/9/2014,2289940.373,1922,11026600,2.4,107387,3664,2.66072
10/10/2014,8661326.964,1380,11325100,2.24,63434,3712,1.46683942
10/11/2014,10924659.18,1322,10585800,2.17,103367,3544,1.7489
10/12/2014,20629081.43,1164,10251400,2.14,90788,3394,2.25841011
10/13/2014,13252159.75,1108,10100600,2.57,136242,3659,1.31449593
10/14/2014,27463121.14,1201,12198800,2.06,218533,3363,1.44488541
10/15/2014,16139771.91,1389,9824590,2.07,87647,3853,1.66600692
10/16/2014,744480.7765,1238,9846070,2.18,104953,3858,6.10004589
10/17/2014,106254255.8,1669,10347500,2.27,82247,3689,1.693109
10/18/2014,13008110.29,1354,10828300,2.29,40729,3672,4.0443075
10/19/2014,22883924.56,1195,10921900,2.27,41570,3990,2.36274174
10/20/2014,76889192.9,1257,10792100,2.11,111213,3887,401.515
10/21/2014,15077772.67,1295,10034800,2.08,70427,3738,3.40619925
10/22/2014,13543357.59,1665,9888470,2.07,100270,4053,3.55774648
10/23/2014,6050475.891,1423,9884060,2.11,50299,4079,3.48012085
10/24/2014,2954377.662,1273,10052600,2.04,61719,3817,4.87019884
10/25/2014,916796.1,1222,9697730,1.92,40232,3657,8.98770002
10/26/2014,435630.8608,1129,9181280,1.93,40296,3827,4.29312438
10/27/2014,306604.3885,1160,9228950,1.91,31037,3803,5.32915856
10/28/2014,446758.4028,1090,9221770,1.9,33227,4455,2.26731432
10/29/2014,278199.2738,1040,9097940,1.61,135790,4244,2.42393567
10/30/2014,383304.4903,1305,7731250,1.79,90240,3835,2.50341768
10/31/2014,191912.1272,1127,8565990,1.79,53915,4085,2.19987768
11/1/2014,325919.0547,1106,8623210,1.67,32686,3668,4.27529002
11/2/2014,155706.5291,1081,8040050,1.66,41301,3434,2.89676102
11/3/2014,148949.6288,1011,7996890,1.63,38374,3367,3.76073001
11/4/2014,158357.0422,958,7836300,1.65,67425,3278,2.25260001
11/5/2014,228547.7618,867,7955980,1.75,61099,3217,1.1145
11/6/2014,355153.5461,1064,8460600,1.99,82374,3553,3.81348018
11/7/2014,475314.9464,1139,9635590,2.13,383517,3850,2.83698
11/8/2014,905273.8715,1565,10305200,2.73,310275,3480,5.76918913
11/9/2014,1182336.265,1440,13233100,2.99,375396,3196,8.29045602
11/10/2014,664083.9183,1417,14455600,2.53,311577,2792,6.62753946
11/11/2014,423530.4197,1507,12292600,2.43,193795,2782,6.99413268
11/12/2014,166117.4594,1071,11786600,2.64,229563,2786,1.86768675
11/13/2014,313482.6489,1181,12889400,2.58,108337,2839,2.4293
11/14/2014,128787.6292,1196,12427100,2.41,106611,2799,2.07114115
11/15/2014,542009.367,1231,11770700,2.49,83032,2808,1.48567824
11/16/2014,461745.592,1187,12072000,2.74,135202,2750,1.3994
11/17/2014,315145.7744,1190,13283300,2.33,225043,2752,2.58240011
11/18/2014,1556034.51,1498,11318600,2.36,217493,2802,10.78440553
11/19/2014,534133.3229,1202,11515900,2.38,87226,2763,4.07005189
11/20/2014,720182.8148,1155,11543700,2.26,111780,2858,3.0229573
11/21/2014,1599566.118,1371,11033900,2.22,52991,2786,2.93543656
11/22/2014,1410458.589,1276,10836200,2.26,56526,2790,1.97320926
11/23/2014,196249.9285,1159,11007000,2.31,52642,2849,1.48611603
11/24/2014,1516770.363,1015,11219600,2.32,59481,2771,1.11942449
11/25/2014,3679512.994,1152,11270300,2.37,59745,2823,1.54036001
11/26/2014,2794983.615,1419,11580000,2.36,98080,2952,3.87659324
11/27/2014,337264.9619,1714,11715200,2.32,85433,2837,4.35940537
11/28/2014,3470990.161,1642,11398800,2.38,46759,2885,2.93370213
11/29/2014,121868.3866,1363,11650000,2.37,57108,3179,2.94918445
11/30/2014,10033132.89,1513,11762700,2.39,43116,2853,5.59890162
12/1/2014,131787.9886,1805,11682300,2.37,46362,3021,5.75379794
12/2/2014,126238.7754,1342,11572600,2.43,93651,3057,5.308398
12/3/2014,352545.0423,1301,11919100,2.43,78398,3022,3.12118162
12/4/2014,6133347.169,1631,11960500,2.33,72131,2909,4.1647935
12/5/2014,5900586.2,1238,11434000,2.37,53824,2835,2.5141
12/6/2014,312993.2894,1159,11636200,2.35,50201,2930,2.03606014
12/7/2014,4254708.823,1985,11614600,2.37,64326,2827,2.92269258
12/8/2014,311669.9358,3237,11700300,2.3,39250,2934,4.96710877
12/9/2014,296823.43,2778,11274800,2.26,42493,2840,7.07265644
12/10/2014,359885.6878,3041,11141100,2.24,39110,2811,3.9776
12/11/2014,339156.479,2133,11019200,2.29,34058,2888,3.63059623
12/12/2014,383485.3348,2236,11154900,2.27,31940,2886,3.30197999
12/13/2014,283024.7223,2772,11197200,2.24,26290,2858,4.63674071
12/14/2014,238195.4941,2153,11008700,2.24,29243,2854,3.72749954
12/15/2014,133443.3918,1366,11055400,2.13,80270,2949,2.49252874
12/16/2014,176754.7654,983,10533600,1.98,71365,2993,1.89142407
12/17/2014,168316.5423,2416,9799650,1.94,90504,2932,3.36849657
12/18/2014,149976.4577,2359,9596030,1.81,80842,2960,3.51252273
12/19/2014,196460.2949,2633,9006200,1.89,47170,3061,3.33642908
12/20/2014,217291.1857,3032,9327450,1.98,43232,3087,5.14895099
12/21/2014,183304.1935,2964,9816190,1.91,77552,3219,5.44977903
